Date,Day in Year,Temperature,Humidity,Pressure,Wind Speed,Wind Direction,Rainfall
1992/08/14,227,29.4,78,1003.4,7.7,130,0.025
1992/08/15,228,29.8,78,1002.3,8.9,130,5.9
1992/08/16,229,28.6,75,1001.1,10.3,30,0.025
1992/08/17,230,29.8,66,999.9,8.5,10,0.1
1992/08/18,231,29.4,68,1000.3,5.7,20,0
1992/08/19,232,29.6,68,999.9,5.2,270,0
1992/08/20,233,28.7,74,1001.1,6.1,10,0.1
1992/08/21,234,27,90,1002.7,8.1,110,18.1
1992/08/22,235,27.4,90,1004.9,8.8,110,8.4
1992/08/23,236,27.8,88,1006.3,5.4,110,1.7
1992/08/24,237,27.9,87,1006.9,4.6,120,4
1992/08/25,238,29.2,79,1006.3,6.1,120,0
1992/08/26,239,29.3,76,1004.8,9.4,120,0
1992/08/27,240,28.9,80,1002.6,4.4,260,19.3
1992/08/28,241,29.1,81,1000.6,6.6,270,10.3
1992/08/29,242,31.5,66,997.1,9.1,350,0.025
1992/08/30,243,32,59,994.4,9.3,320,0.025
1992/08/31,244,31.6,61,994.3,13,280,0
1992/09/01,245,31.1,63,1000.4,8.6,270,0
1992/09/02,246,30.8,71,1004.7,7.8,270,0
1992/09/03,247,31,66,1003.1,7.2,260,0
1992/09/04,248,30.9,72,1000.8,7.8,270,0
1992/09/05,249,30.6,72,998.2,10.9,270,16.8
1992/09/06,250,26.6,83,999,10.3,270,12.7
1992/09/07,251,27.2,87,1002.7,11.3,130,8.6
1992/09/08,252,28.2,85,1005.9,7.7,120,11
1992/09/09,253,28.9,84,1008.1,5.1,120,0.3
1992/09/10,254,29,84,1008.1,4.3,270,2.8
1992/09/11,255,28.1,83,1007.2,8.5,120,0.5
1992/09/12,256,28.6,84,1007.4,9.3,120,2.4
1992/09/13,257,29,80,1008.2,6.6,120,0
1992/09/14,258,29.4,78,1009.7,4.6,270,0
1992/09/15,259,29.5,77,1010.3,4.2,280,0.025
1992/09/16,260,29.1,81,1009.5,4.1,280,2
1992/09/17,261,28.2,79,1009.5,9.1,120,0.9
1992/09/18,262,28.4,74,1010,13.8,110,1.4
1992/09/19,263,28.1,77,1010.5,15.5,110,0.4
1992/09/20,264,28.6,74,1010.1,10.9,120,0.025
1992/09/21,265,29.7,65,1005.5,9.7,360,0
1992/09/22,266,29.8,60,1002.7,7.6,350,0
1992/09/23,267,28.9,64,1004.8,6.4,270,0
1992/09/24,268,29.3,74,1009.1,5.4,260,0
1992/09/25,269,29.7,70,1011,7.5,120,0
1992/09/26,270,28.3,75,1013.4,13.1,110,2.1
1992/09/27,271,26.6,71,1014.9,13.2,120,0.5
1992/09/28,272,27.2,71,1013.4,8,110,0.025
1992/09/29,273,27.1,81,1012.4,4.2,110,0.1
1992/09/30,274,27.7,78,1013.2,9.5,120,0.6
1992/10/01,275,27.1,86,1014.3,8.9,110,13.8
1992/10/02,276,27.9,81,1014.5,7.7,120,0
1992/10/03,277,28.1,81,1012.8,5.8,120,0
1992/10/04,278,28.2,80,1013.1,8.4,120,0.025
1992/10/05,279,25.6,78,1015.4,9.3,30,13.1
1992/10/06,280,25.2,72,1016.1,7.9,120,0.025
1992/10/07,281,25.6,71,1015.7,7.6,120,0.025
1992/10/08,282,26.2,69,1016,8.1,120,0.025
1992/10/09,283,25.9,71,1016.4,9.4,120,0.1
1992/10/10,284,25.6,71,1014.5,7.9,110,1.1
1992/10/11,285,25.5,63,1013.5,8.1,20,0
1992/10/12,286,25,62,1013.9,7.4,20,0.025
1992/10/13,287,24.2,68,1014.2,6.2,10,0.2
1992/10/14,288,23.6,59,1013.2,8.2,10,0
1992/10/15,289,23.8,53,1012.5,6,10,0
1992/10/16,290,24,54,1012.6,8.5,10,0
1992/10/17,291,24,46,1014.8,11.1,20,0
1992/10/18,292,23.6,51,1016.6,8.1,20,0
1992/10/19,293,23.6,57,1017.2,7.2,20,0
1992/10/20,294,23.4,64,1016.5,9.9,120,0
1992/10/21,295,23.2,62,1015.5,13.2,120,0
1992/10/22,296,23.2,70,1014.9,11.3,110,0
1992/10/23,297,23.6,71,1015.9,11.2,110,0
1992/10/24,298,23.3,59,1016.9,9,30,0
1992/10/25,299,22.5,49,1018.4,8,120,0
1992/10/26,300,22.1,56,1018.9,9.1,120,0
1992/10/27,301,22.7,63,1018.6,8.5,120,0.4
1992/10/28,302,23,73,1018.3,7.2,120,2.2
1992/10/29,303,24.3,65,1016.9,4.6,120,0
1992/10/30,304,24.1,64,1017.2,8.8,120,0
1992/10/31,305,23.2,74,1018.3,9.5,120,0
1992/11/01,306,23.5,65,1019.3,11.1,110,0
1992/11/02,307,22.4,61,1020.1,14.7,110,0
1992/11/03,308,22.1,71,1018.7,9.4,120,0
1992/11/04,309,22.9,72,1017.3,7.7,120,0
1992/11/05,310,23.6,79,1016.8,7.9,120,0
1992/11/06,311,23,80,1016.6,9.9,120,0
1992/11/07,312,22.6,77,1016.6,8.8,110,0
1992/11/08,313,21.3,78,1019.2,7.9,120,1
1992/11/09,314,17.7,40,1026.4,14.5,10,0
1992/11/10,315,16.1,32,1027,10.9,30,0
1992/11/11,316,16.8,50,1025.4,8.3,30,0
1992/11/12,317,19,62,1022.5,4.5,20,0
1992/11/13,318,20.6,58,1020.4,6,120,0
1992/11/14,319,19.4,85,1019.9,5.9,120,8.5
1992/11/15,320,20.8,80,1020.3,3.7,260,0.6
1992/11/16,321,21.7,69,1020,7.2,120,0
1992/11/17,322,21.4,76,1018.2,7.8,120,0
1992/11/18,323,21.8,79,1016.6,11.4,120,0
1992/11/19,324,22.9,79,1015.7,6.3,280,0
1992/11/20,325,19.7,52,1018,11.6,20,0
1992/11/21,326,16.6,48,1019,9.7,120,0
1992/11/22,327,18.8,68,1020.5,7.4,120,0
1992/11/23,328,20,59,1021.1,4.4,120,0
1992/11/24,329,20.2,66,1021,5.5,100,0
1992/11/25,330,21.4,47,1019.1,5.3,40,0
1992/11/26,331,20.2,43,1020.8,12.4,120,0
1992/11/27,332,18.3,59,1023.1,8.9,110,0
1992/11/28,333,18.5,60,1023,4.8,10,0
1992/11/29,334,19.1,59,1021,3.8,270,0
1992/11/30,335,19.8,74,1021.1,4.9,120,0
1992/12/01,336,20.1,67,1022,5.6,110,0
1992/12/02,337,19.7,66,1023.2,7.2,120,0.025
1992/12/03,338,19.5,67,1024,11.2,120,0
1992/12/04,339,19.1,74,1023.5,13.6,120,0
1992/12/05,340,20.7,76,1021.6,10.5,120,0
1992/12/06,341,21.1,78,1019,8.8,120,0
1992/12/07,342,22.1,78,1016.6,3.1,270,0.025
1992/12/08,343,21.4,78,1017.4,10.7,120,0
1992/12/09,344,21.3,77,1017.9,7.3,120,0
1992/12/10,345,21.7,79,1018.1,6.7,120,0
1992/12/11,346,20.3,77,1019.8,9.7,110,0.025
1992/12/12,347,19.9,81,1018.2,10.6,120,0
1992/12/13,348,19.9,87,1016.7,10.9,120,0
1992/12/14,349,19.2,85,1018.7,10.2,120,1.4
1992/12/15,350,13.8,77,1024.2,9.6,10,0.4
1992/12/16,351,15,72,1023.2,4.5,120,0
1992/12/17,352,17.2,72,1022.3,6,120,0
1992/12/18,353,18.6,78,1022.3,8.5,120,0
1992/12/19,354,20,74,1020.1,9.7,120,0
1992/12/20,355,20.9,68,1018.9,6.6,120,0.9
1992/12/21,356,22,80,1019.9,4.7,120,0
1992/12/22,357,20.3,81,1020.1,10.7,120,0
1992/12/23,358,17.1,64,1023.2,8.4,10,0
1992/12/24,359,14.8,51,1023.9,6.8,40,0
1992/12/25,360,16.8,71,1021.6,13.2,110,0.025
1992/12/26,361,17.4,94,1018.6,11.5,120,23
1992/12/27,362,19.8,95,1015.9,3,110,9.8
1992/12/28,363,20.4,89,1016.4,2.8,260,0
1992/12/29,364,18.8,94,1020.2,8.5,120,29.7
1992/12/30,365,18.3,88,1021.1,9.4,110,1.2
1992/12/31,366,17.5,73,1023.8,5.4,10,0
1993/01/01,1,17.1,71,1023.7,5.4,120,0
1993/01/02,2,18.1,76,1021.4,5.4,120,0
1993/01/03,3,18.4,85,1020.5,9.7,120,0
1993/01/04,4,19.4,84,1020.5,4.6,120,0
1993/01/05,5,18.4,83,1021.9,10.4,110,0.025
1993/01/06,6,18.7,86,1020.6,9.7,120,1.2
1993/01/07,7,20.1,85,1020.9,6.4,120,0
1993/01/08,8,19.3,86,1021.8,11.4,120,0.025
1993/01/09,9,19.8,81,1020.2,8.3,120,0
1993/01/10,10,20.8,77,1017,3.7,120,0
1993/01/11,11,19.9,84,1017.6,9.2,120,0.025
1993/01/12,12,19.1,83,1018,12.7,120,1.4
1993/01/13,13,19.2,87,1016.3,9.9,110,0.025
1993/01/14,14,17.9,85,1014,6.6,270,0.025
1993/01/15,15,10.4,84,1018.6,9.2,10,5.1
1993/01/16,16,8.2,69,1024,10,10,7.3
1993/01/17,17,8,75,1023.3,5.4,10,0.1
1993/01/18,18,7.4,89,1022.7,5.7,10,5.1
1993/01/19,19,9.7,77,1021.3,4.3,10,0
1993/01/20,20,11.5,82,1020.6,4.2,10,0
1993/01/21,21,10.5,78,1023.4,5.9,20,0
1993/01/22,22,11.7,79,1022.1,4,20,0
1993/01/23,23,9.3,87,1020.3,5.1,360,13.3
1993/01/24,24,10,62,1020.6,5.5,10,0
1993/01/25,25,11.6,58,1021.5,3.7,20,0
1993/01/26,26,12.7,58,1022.2,4,40,0
1993/01/27,27,13.5,35,1024.5,12.4,20,0
1993/01/28,28,11,36,1026,11.4,30,0
1993/01/29,29,12.3,52,1024.5,4.1,260,0
1993/01/30,30,14.3,46,1024.5,7,120,0
1993/01/31,31,14.9,63,1024.6,5.6,120,0
1993/02/01,32,15.4,62,1026.8,7.6,120,0
1993/02/02,33,14.7,68,1027.5,12.4,120,0
1993/02/03,34,16.1,69,1026.1,6,120,0
1993/02/04,35,17.9,71,1023.4,3.6,130,0
1993/02/05,36,18.2,73,1021,6.7,120,0
1993/02/06,37,19.4,86,1015.9,2.7,110,0.025
1993/02/07,38,19.2,82,1016.3,4.4,270,0
1993/02/08,39,17.6,76,1019.5,13.1,120,0.025
1993/02/09,40,18.3,79,1019.3,8.5,120,0.5
1993/02/10,41,17.2,79,1021.7,10.3,120,0
1993/02/11,42,18.5,74,1020.1,4,270,0
1993/02/12,43,18.2,66,1020.4,11.5,110,0
1993/02/13,44,17.3,68,1020.7,10.1,120,0
1993/02/14,45,18.2,75,1018.9,10.8,110,0
1993/02/15,46,19.1,77,1014.6,9.6,120,0
1993/02/16,47,20.1,73,1012.9,5.3,260,0
1993/02/17,48,19.3,73,1016.3,9.1,120,0
1993/02/18,49,18.4,84,1016.8,12.7,120,0.4
1993/02/19,50,19.1,88,1015.7,13.2,120,0.1
1993/02/20,51,19.8,93,1013.7,9,120,0.025
1993/02/21,52,21,91,1012.5,3.3,110,0
1993/02/22,53,20.2,82,1016.3,6.1,120,0.025
1993/02/23,54,16.2,76,1022.2,8,110,0
1993/02/24,55,16.4,78,1022.7,11.4,120,0
1993/02/25,56,15.9,80,1021.6,10.5,120,0
1993/02/26,57,16.6,84,1018.8,10.7,120,0.025
1993/02/27,58,18.6,85,1016.1,9.4,120,0.025
1993/02/28,59,17.6,79,1018.1,6.9,260,0
1993/03/01,61,14.9,68,1024.2,7.3,10,0
1993/03/02,62,15.9,69,1024,10.5,110,0
1993/03/03,63,16.7,78,1020.7,8,120,0.025
1993/03/04,64,17.1,79,1019,7.2,120,0.2
1993/03/05,65,18.4,76,1017.5,12.7,120,0
1993/03/06,66,21,81,1017.3,7.7,120,0
1993/03/07,67,20.8,82,1018.8,10.1,120,0
1993/03/08,68,18.4,79,1020.7,14.1,110,0
1993/03/09,69,19,78,1020.8,10.6,120,0
1993/03/10,70,19.5,81,1020.4,9.2,120,0
1993/03/11,71,20.6,76,1018.2,6.6,280,0
1993/03/12,72,20.1,83,1017.5,9.5,120,0
1993/03/13,73,18.2,85,1015.7,13.7,120,1.1
1993/03/14,74,21.4,88,1011.2,10.7,120,0.3
1993/03/15,75,23.8,85,1009.6,7.7,200,1
1993/03/16,76,23.1,88,1007.9,9.1,290,18.8
1993/03/17,77,17.1,91,1011.8,9.5,120,17.3
1993/03/18,78,14.9,83,1017.4,8.1,10,3
1993/03/19,79,13.2,84,1020.8,7.7,20,4.8
1993/03/20,80,13.9,87,1021.1,4.9,40,1.1
1993/03/21,81,16.4,86,1021.7,6.6,120,0
1993/03/22,82,18.5,85,1021,10.8,120,0.025
1993/03/23,83,20.1,90,1017.8,11.1,120,0
1993/03/24,84,22.8,89,1015.1,4.2,110,0.025
1993/03/25,85,24.5,85,1013.2,6.2,160,0
1993/03/26,86,24.7,83,1011.9,4.9,160,0
1993/03/27,87,24.9,82,1010.3,7.3,160,0
1993/03/28,88,25.4,78,1010.6,4.9,170,0
1993/03/29,89,18.5,83,1015.9,14.6,110,1.1
1993/03/30,90,17.7,84,1015.3,6.4,110,0.025
1993/03/31,91,19.3,88,1012.2,8.1,120,0.3
1993/04/01,92,23,88,1010.4,8,110,0.025
1993/04/02,93,24.2,91,1010.4,8.2,160,0.2
1993/04/03,94,25.1,87,1010.1,6.3,120,0
1993/04/04,95,25,84,1010.1,3.9,120,0
1993/04/05,96,20.1,88,1015.2,14.5,110,0.4
1993/04/06,97,18.2,86,1016,13.8,110,1
1993/04/07,98,16.5,87,1017.5,5.6,10,19.4
1993/04/08,99,16.1,85,1020.2,7.1,90,5.1
1993/04/09,100,16.8,81,1021.9,6.9,110,0.025
1993/04/10,101,18.8,79,1019.6,9.4,120,0.025
1993/04/11,102,19.2,84,1016.8,14.6,120,0.025
1993/04/12,103,19.3,81,1019.4,14.3,120,0
1993/04/13,104,19.7,78,1022,12.8,120,0
1993/04/14,105,20.7,82,1020.8,8.9,120,0
1993/04/15,106,21.5,84,1016.9,6.8,120,0
1993/04/16,107,23.2,82,1012,4.9,270,0
1993/04/17,108,21.7,91,1012.2,10.5,120,0.025
1993/04/18,109,20.1,93,1012.7,14,120,14.7
1993/04/19,110,20.9,93,1013.7,12,120,0.025
1993/04/20,111,21.9,95,1012.7,7.3,120,45.4
1993/04/21,112,21.3,97,1012.8,2.6,280,22.5
1993/04/22,113,23.5,83,1011.6,3.6,280,0.025
1993/04/23,114,25.6,86,1009.3,8.4,210,0.025
1993/04/24,115,26.9,82,1010.1,8.4,250,1.1
1993/04/25,116,24.6,89,1012.8,9.1,280,8.1
1993/04/26,117,20.9,86,1013,16.2,120,0.4
1993/04/27,118,23.8,89,1009.8,11.2,120,0.025
1993/04/28,119,26.5,82,1008.5,6.3,160,0.025
1993/04/29,120,25.4,89,1009.2,5.2,110,11.5
1993/04/30,121,23.5,88,1009.1,6.8,120,6.5
1993/05/01,122,24.1,94,1008.9,9.3,110,36.9
1993/05/02,123,24.9,90,1009.2,7.9,200,31.1
1993/05/03,124,23.3,88,1011.2,5.7,120,0.3
1993/05/04,125,21.4,92,1012.6,16.3,120,2.3
1993/05/05,126,22.8,93,1011.6,11.5,120,0.1
1993/05/06,127,26.3,86,1010.1,4.8,100,0
1993/05/07,128,27.4,80,1009.5,4.7,270,0
1993/05/08,129,27.5,81,1009.6,5.2,280,0
1993/05/09,130,25.5,87,1009.9,7,210,54.5
1993/05/10,131,24.8,88,1012.6,8,120,0.2
1993/05/11,132,24.7,89,1013.6,12.9,120,1
1993/05/12,133,26.1,89,1013.2,10,120,0.025
1993/05/13,134,27.4,88,1013.1,7.5,110,0
1993/05/14,135,27.9,82,1013.5,4.1,110,0
1993/05/15,136,25.9,87,1014.3,8.5,110,0.1
1993/05/16,137,25.5,82,1013.1,10.5,120,0.025
1993/05/17,138,26.6,85,1012.3,8.5,120,0.025
1993/05/18,139,27.2,80,1012.3,9.8,120,0
1993/05/19,140,27.7,80,1012.5,9.3,110,0
1993/05/20,141,27.6,81,1011.8,5.8,110,0
1993/05/21,142,28.4,77,1011,4.8,270,0
1993/05/22,143,27.6,83,1010.3,4.3,280,2
1993/05/23,144,26.7,87,1009.2,3.6,280,26.1
1993/05/24,145,24.8,94,1007.3,3.8,110,65.6
1993/05/25,146,24.7,95,1005.6,5.1,110,76.5
1993/05/26,147,24.9,94,1006.3,3.3,110,16
1993/05/27,148,26.9,84,1004.5,6,270,0
1993/05/28,149,27.8,61,1007.8,6.3,360,0
1993/05/29,150,25.7,56,1009.1,4.5,110,0
1993/05/30,151,26.6,69,1008.4,5.5,120,0.025
1993/05/31,152,28.7,81,1005.6,11,210,25.7
1993/06/01,153,29.1,82,1003.5,17.5,240,0.025
1993/06/02,154,26.6,90,1005.4,5.5,120,9.1
1993/06/03,155,25.3,96,1006.4,6.7,120,47.6
1993/06/04,156,27.4,88,1004.7,9.7,210,7.5
1993/06/05,157,28.6,86,1003.2,14.5,250,0.9
1993/06/06,158,28.2,81,1004.8,5.5,280,1.3
1993/06/07,159,27.9,86,1007,5.9,280,16.4
1993/06/08,160,29.1,80,1007.4,8,210,0.025
1993/06/09,161,27.8,87,1007.7,7.4,170,11.1
1993/06/10,162,25.5,95,1008.3,6.2,110,20.7
1993/06/11,163,26.5,94,1006.4,8,100,142.1
1993/06/12,164,29.4,80,1005.1,11.5,210,0
1993/06/13,165,28.9,83,1007.1,9.3,220,12.8
1993/06/14,166,29.5,79,1008.1,8.5,210,0.9
1993/06/15,167,29.6,79,1008.3,9.4,220,7.6
1993/06/16,168,26.1,93,1008.7,10.5,250,153
1993/06/17,169,28,85,1008.7,7.2,150,5.9
1993/06/18,170,28.6,81,1008.4,8.3,170,0.025
1993/06/19,171,29.2,78,1008,8.8,170,0.1
1993/06/20,172,29.1,80,1007.5,6.6,170,3
1993/06/21,173,29.5,78,1007.2,6.2,160,0.8
1993/06/22,174,29.9,77,1005.8,6,290,0.1
1993/06/23,175,29.3,79,1005,4.6,280,1.4
1993/06/24,176,29.1,81,1004.8,6.6,170,11.2
1993/06/25,177,29.4,83,1004.8,6.8,120,1.6
1993/06/26,178,29.8,80,1005,7.1,120,8.7
1993/06/27,179,28.1,77,999.4,28.4,70,9.5
1993/06/28,180,26.8,86,1006.4,18.1,140,10.9
1993/06/29,181,27.9,85,1007.5,12.5,170,0.7
1993/06/30,182,28.9,81,1007.1,12.8,210,0.3
1993/07/01,183,28.9,81,1008.6,8.8,210,0.025
1993/07/02,184,29,78,1009.9,7.3,270,0
1993/07/03,185,29.4,78,1009.4,8.2,170,0.025
1993/07/04,186,29.7,76,1008.3,7.5,210,0.025
1993/07/05,187,29.6,75,1007.5,8.3,170,0
1993/07/06,188,29.6,76,1007.6,7,170,0.025
1993/07/07,189,29.7,75,1006.8,7.2,170,0.025
1993/07/08,190,29.9,75,1007.9,7.5,170,0.1
1993/07/09,191,30.1,76,1008.4,9,120,0
1993/07/10,192,29.6,81,1007.4,11.7,120,22.2
1993/07/11,193,28.1,87,1006.6,12.6,120,32.1
1993/07/12,194,27.7,87,1006.7,14.4,120,24.8
1993/07/13,195,26.3,90,1006,10.3,130,39.7
1993/07/14,196,28.2,84,1006.2,6.6,120,0
1993/07/15,197,29.5,79,1007.2,5.4,140,0.8
1993/07/16,198,29.8,76,1007.9,6.2,270,0.025
1993/07/17,199,29.9,76,1007,8.1,270,0.025
1993/07/18,200,29.9,76,1004.7,8.9,250,0
1993/07/19,201,30,77,1004.3,8.5,260,0
1993/07/20,202,30.2,76,1004.5,7.5,220,0.025
1993/07/21,203,30.1,78,1006.1,6.2,170,0.025
1993/07/22,204,29.1,84,1007.7,4.9,120,80.8
1993/07/23,205,29.9,77,1006.9,6.1,280,0.025
1993/07/24,206,29.9,75,1005,7.3,270,0.1
1993/07/25,207,30.2,75,1003.3,7.2,270,0
1993/07/26,208,30.1,76,1003.2,7.1,280,0.025
1993/07/27,209,30.3,76,1002.9,6.6,270,0.4
1993/07/28,210,30.4,76,1002.6,6.3,280,0
1993/07/29,211,30.2,78,1001.4,7.3,270,0.4
1993/07/30,212,29.9,82,1000.7,6,280,0.1
1993/07/31,213,27.8,88,1001.5,7,120,12.2
1993/08/01,214,28,88,1003.1,9,120,19.2
1993/08/02,215,28.9,82,1007.5,8,130,16.4
1993/08/03,216,28.9,82,1008.5,5.1,170,5.2
1993/08/04,217,29.5,77,1007.6,5.6,270,0.3
1993/08/05,218,30,75,1007.8,5.7,280,0
1993/08/06,219,30,76,1006.2,6,270,0
1993/08/07,220,30,78,1002.7,6.5,270,0
1993/08/08,221,29.6,81,1001.1,5,290,1
1993/08/09,222,29.5,83,1001.1,3.6,280,0.2
1993/08/10,223,28.3,86,1002.7,3.7,280,20.3
1993/08/11,224,29.5,84,1002.9,5.8,120,6.1
1993/08/12,225,29.1,84,1003.3,7.8,130,0.9
1993/08/13,226,27.9,89,1005.2,5.6,120,9.9
1993/08/14,227,28.7,82,1005.7,4.6,120,0.025
1993/08/15,228,27.7,86,1004.7,3.6,120,10.7
1993/08/16,229,27.1,90,1005.7,4.8,110,37.2
1993/08/17,230,27,93,1007.2,6.1,120,15.2
1993/08/18,231,28.6,84,1005.9,4.7,120,0
1993/08/19,232,29.5,74,1002.3,9.8,80,0.2
1993/08/20,233,26.7,86,997.8,27.3,120,24.6
1993/08/21,234,27.2,86,1003.5,22.5,140,13.9
1993/08/22,235,28.2,84,1010.2,14.2,140,1.5
1993/08/23,236,28.3,82,1012.2,8.1,120,0
1993/08/24,237,28,76,1010.3,5.7,270,0
1993/08/25,238,29.1,76,1008.1,4.2,280,0
1993/08/26,239,28.9,79,1006.9,4.3,280,0
1993/08/27,240,29.1,77,1006.5,7.1,120,0
1993/08/28,241,28.9,80,1008.7,11,120,0.025
1993/08/29,242,28.5,80,1010.3,11.5,120,0.025
1993/08/30,243,28.3,79,1012.5,9.6,120,0
1993/08/31,244,27.8,76,1011.9,6.1,290,0.025
1993/09/01,245,28,76,1009.7,4.4,280,0.4
1993/09/02,246,28.3,70,1008.6,5.4,280,0
1993/09/03,247,29,67,1008.5,3.4,280,0
1993/09/04,248,28.7,75,1009,4.2,280,0.025
1993/09/05,249,28.8,79,1011.3,8.5,120,0
1993/09/06,250,28.3,71,1011.8,10.4,120,0
1993/09/07,251,28.1,69,1011,9.5,120,0
1993/09/08,252,28,74,1010.7,9.4,120,0
1993/09/09,253,28.2,75,1011.5,9.7,120,0
1993/09/10,254,28,75,1012.3,10.5,120,0
1993/09/11,255,27.8,72,1010.3,4.9,120,0
1993/09/12,256,28.4,75,1007.8,5.2,270,0.025
1993/09/13,257,28.4,80,1006.8,4.3,280,56.2
1993/09/14,258,28.3,79,1007.3,5.1,270,5.8
1993/09/15,259,28.6,79,1008.8,6.9,120,0.1
1993/09/16,260,28.7,75,1006.7,5.5,280,0.3
1993/09/17,261,26.2,87,1004,25.2,130,70.8
1993/09/18,262,27.4,87,1011,15,120,20.4
1993/09/19,263,27.8,86,1014,10.3,120,3.4
1993/09/20,264,28.4,77,1012.5,6.5,120,0
1993/09/21,265,28.7,78,1009.7,8,120,0
1993/09/22,266,28.4,79,1009.2,8.4,120,0.1
1993/09/23,267,26,89,1009.2,6.4,110,43
1993/09/24,268,24.8,93,1008.9,12,90,71.2
1993/09/25,269,23.7,93,1008.5,17.2,80,121.8
1993/09/26,270,23.9,94,1007.3,17.7,100,223.9
1993/09/27,271,26.6,83,1007.3,8,170,37.9
1993/09/28,272,26.8,80,1007.8,3.9,280,0
1993/09/29,273,27.1,82,1009.4,3.3,290,0
1993/09/30,274,27.3,80,1011.4,5.1,120,0.6
1993/10/01,275,25.2,79,1013.4,9.3,110,4.2
1993/10/02,276,24.3,70,1013.7,7.8,30,0
1993/10/03,277,24.9,65,1013.4,8.1,30,0
1993/10/04,278,25.4,64,1012.5,7.4,120,0
1993/10/05,279,26.2,64,1010.2,8,20,0
1993/10/06,280,25.4,54,1009.2,9.9,20,0
1993/10/07,281,24.9,43,1011.1,7.3,20,0
1993/10/08,282,24.9,53,1013.7,3.6,40,0
1993/10/09,283,25.2,69,1014.8,5.2,120,0
1993/10/10,284,25.1,71,1015.1,7,120,0
1993/10/11,285,25.2,61,1016.5,9.9,120,0
1993/10/12,286,25.6,72,1016.5,5.6,120,0
1993/10/13,287,24.6,84,1015,7,10,13.6
1993/10/14,288,25.3,88,1015.3,12.3,120,69.4
1993/10/15,289,26,81,1017.1,9.2,110,0.3
1993/10/16,290,25.9,79,1017.9,8.2,110,0
1993/10/17,291,26.2,81,1017.3,7.3,120,0.3
1993/10/18,292,25.1,72,1017.5,9.2,40,0
1993/10/19,293,23.8,70,1017.8,6.9,40,0
1993/10/20,294,23.9,73,1017.3,4.6,120,0
1993/10/21,295,24.5,71,1017.4,6.5,120,0
1993/10/22,296,24.6,63,1017.8,7,120,0
1993/10/23,297,24.4,63,1017.9,6.7,120,0
1993/10/24,298,24.3,67,1018,11.1,110,0
1993/10/25,299,23.9,77,1018,12.5,120,0.025
1993/10/26,300,24.4,83,1016.9,9.5,120,0.025
1993/10/27,301,24.6,85,1017.9,9.2,120,0.025
1993/10/28,302,24.7,80,1018.7,8.8,120,0
1993/10/29,303,24.4,70,1019.9,7.6,10,0
1993/10/30,304,21.8,51,1022.2,12.7,20,0
1993/10/31,305,19.7,39,1021.5,7.2,30,0
1993/11/01,306,20.2,48,1019.5,7,20,0
